Week,WeekStart,Symbol,H1_Bars_Above20,H1_Total_Bars,H1_Pct_Above20,H1_Range_Pips,H1_AvgADX,H1_MaxADX,H4_Bars_Above20,H4_Total_Bars,H4_Pct_Above20,H4_Bars_Above30,H4_Pct_Above30,H4_Range_Pips,H4_AvgADX,H4_MaxADX
2025-W18,2025.04.28,USDJPY,74,120,61.7,394.6,26.23,50.22,15,30,50.0,0,0.0,394.6,20.24,27.58
2025-W19,2025.05.05,USDJPY,84,120,70.0,383.4,24.32,37.58,5,30,16.7,0,0.0,145.2,18.08,24.35
2025-W20,2025.05.12,USDJPY,92,120,76.7,373.0,25.62,35.86,18,30,60.0,0,0.0,373.0,21.52,27.70
2025-W21,2025.05.19,USDJPY,86,120,71.7,309.1,24.43,36.43,30,30,100.0,3,10.0,309.1,27.34,30.77
2025-W22,2025.05.26,USDJPY,83,120,69.2,405.5,21.51,30.59,13,30,43.3,0,0.0,234.7,20.70,28.46
2025-W23,2025.06.02,USDJPY,83,120,69.2,271.3,25.43,50.55,8,30,26.7,0,0.0,173.2,17.91,22.71
2025-W24,2025.06.09,USDJPY,67,120,55.8,267.2,23.31,49.60,22,30,73.3,0,0.0,267.2,20.96,23.36
2025-W25,2025.06.16,USDJPY,31,120,25.8,227.7,17.00,26.97,0,30,0.0,0,0.0,0.0,13.33,19.58
2025-W26,2025.06.23,USDJPY,97,120,80.8,427.4,28.33,43.40,6,30,20.0,0,0.0,308.4,16.97,23.60
2025-W27,2025.06.30,USDJPY,43,120,35.8,190.1,19.05,37.08,0,30,0.0,0,0.0,0.0,14.28,17.94
2025-W28,2025.07.07,USDJPY,80,120,66.7,312.7,27.60,48.03,12,30,40.0,0,0.0,173.0,19.19,25.33
2025-W29,2025.07.14,USDJPY,103,120,85.8,233.4,25.49,37.30,24,30,80.0,0,0.0,227.5,23.88,28.57
2025-W30,2025.07.21,USDJPY,66,120,55.0,205.5,21.00,31.89,1,30,3.3,0,0.0,78.9,18.22,20.70
2025-W31,2025.07.28,USDJPY,62,120,51.7,362.9,20.46,35.73,27,30,90.0,0,0.0,362.9,22.63,25.43
2025-W32,2025.08.04,USDJPY,47,120,39.2,147.2,19.43,41.50,2,30,6.7,0,0.0,86.0,14.81,21.73
2025-W33,2025.08.11,USDJPY,67,120,55.8,230.6,21.44,33.27,0,30,0.0,0,0.0,0.0,11.80,13.60
2025-W34,2025.08.18,USDJPY,53,120,44.2,220.5,19.83,31.31,0,30,0.0,0,0.0,0.0,11.64,16.70
2025-W35,2025.08.25,USDJPY,23,120,19.2,139.9,17.07,25.34,6,30,20.0,0,0.0,119.8,17.74,20.75
