Week,WeekStart,Symbol,H1_Bars_Above20,H1_Total_Bars,H1_Pct_Above20,H1_Range_Pips,H1_AvgADX,H1_MaxADX,H4_Bars_Above20,H4_Total_Bars,H4_Pct_Above20,H4_Bars_Above30,H4_Pct_Above30,H4_Range_Pips,H4_AvgADX,H4_MaxADX,ADX_Score_v1,H4_Vel_Pos_Pct,ATR_Ratio,ATR_Phase,Score_Axis_A,Score_Axis_B,Score_Axis_C,ADX_Score_v3,Score_Band_v3
2025-W11,2025.03.10,XAUUSD,79,115,68.7,,27.6,,,30,0.0,,0.0,,16.0,,61.8,83.3,0.961,NORMAL_FALL,28.0,15.0,5.4,48.4,WATCH
2025-W12,2025.03.17,XAUUSD,78,115,67.8,,30.7,,,30,0.0,,0.0,,44.0,,81.4,66.7,0.929,NORMAL_FLAT,40.0,32.0,18.9,91.0,OPTIMAL
2025-W13,2025.03.24,XAUUSD,34,115,29.6,,30.65,,,30,0.0,,0.0,,23.25,,57.2,33.3,0.942,NORMAL_FLAT,22.0,32.0,10.9,64.9,GOOD
2025-W14,2025.03.31,XAUUSD,78,115,67.8,,30.53,,,30,0.0,,0.0,,41.48,,74.7,43.3,2.496,PEAK_CONT,25.0,18.0,18.8,61.8,GOOD
2025-W15,2025.04.07,XAUUSD,88,115,76.5,,32.69,,,30,0.0,,0.0,,25.68,,63.3,40.0,2.137,PEAK_FALL,25.0,12.0,13.4,50.4,WATCH
2025-W16,2025.04.14,XAUUSD,73,92,79.3,,38.09,,,24,0.0,,0.0,,34.41,,85.0,70.8,1.537,PEAK_FALL,40.0,12.0,21.1,73.1,GOOD
2025-W17,2025.04.21,XAUUSD,84,115,73.0,,35.2,,,30,0.0,,0.0,,37.39,,73.3,30.0,1.514,PEAK_CONT,22.0,18.0,20.6,60.6,GOOD
2025-W18,2025.04.28,XAUUSD,42,115,36.5,,32.18,,,30,0.0,,0.0,,15.66,,52.1,33.3,1.011,NORMAL_FALL,22.0,15.0,8.2,45.2,WATCH
2025-W19,2025.05.05,XAUUSD,96,115,83.5,,37.88,,,30,0.0,,0.0,,24.83,,72.4,56.7,1.071,NORMAL_RISE,33.0,5.0,16.3,54.3,WATCH
2025-W20,2025.05.12,XAUUSD,63,115,54.8,,30.37,,,30,0.0,,0.0,,18.03,,51.4,30.0,1.004,NORMAL_FLAT,22.0,32.0,8.2,62.2,GOOD
2025-W21,2025.05.19,XAUUSD,108,115,93.9,,31.73,,,30,0.0,,0.0,,17.27,,58.7,53.3,0.743,BOTTOM,33.0,25.0,8.7,66.7,GOOD
2025-W22,2025.05.26,XAUUSD,44,113,38.9,,22.73,,,30,0.0,,0.0,,17.03,,39.2,16.7,0.867,BOTTOM_TURN,10.0,28.0,2.8,40.8,CAUTION
2025-W23,2025.06.02,XAUUSD,30,115,26.1,,30.57,,,30,0.0,,0.0,,12.72,,52.7,43.3,0.836,BOTTOM_CONT,25.0,35.0,6.9,66.9,GOOD
2025-W24,2025.06.09,XAUUSD,43,115,37.4,,24.63,,,30,0.0,,0.0,,13.29,,49.6,53.3,0.929,NORMAL_RISE,33.0,5.0,3.0,41.0,CAUTION
2025-W25,2025.06.16,XAUUSD,52,113,46.0,,21.89,,,30,0.0,,0.0,,18.65,,44.4,33.3,0.73,BOTTOM,22.0,25.0,3.0,50.0,WATCH
2025-W26,2025.06.23,XAUUSD,43,115,37.4,,27.77,,,30,0.0,,0.0,,12.59,,47.1,33.3,0.76,BOTTOM_CONT,22.0,35.0,5.0,62.0,GOOD
2025-W27,2025.06.30,XAUUSD,89,111,80.2,,36.13,,,29,0.0,,0.0,,20.96,,74.6,82.8,0.655,BOTTOM,28.0,25.0,13.3,66.3,GOOD
2025-W28,2025.07.07,XAUUSD,68,115,59.1,,27.08,,,30,0.0,,0.0,,17.07,,46.4,26.7,0.671,BOTTOM,22.0,25.0,5.6,52.6,WATCH
2025-W29,2025.07.14,XAUUSD,51,115,44.3,,26.86,,,30,0.0,,0.0,,22.5,,55.6,43.3,0.882,BOTTOM_TURN,25.0,28.0,8.1,61.1,GOOD
2025-W30,2025.07.21,XAUUSD,106,115,92.2,,33.69,,,30,0.0,,0.0,,19.97,,63.0,53.3,0.938,NORMAL_FLAT,33.0,32.0,11.3,76.3,OPTIMAL
2025-W31,2025.07.28,XAUUSD,59,115,51.3,,29.14,,,30,0.0,,0.0,,26.94,,63.6,50.0,1.175,HIGH_CONT,33.0,8.0,11.7,52.7,WATCH
2025-W32,2025.08.04,XAUUSD,40,115,34.8,,26.88,,,30,0.0,,0.0,,20.36,,53.7,43.3,1.042,NORMAL_FALL,25.0,15.0,7.0,47.0,WATCH
2025-W33,2025.08.11,XAUUSD,44,115,38.3,,28.47,,,30,0.0,,0.0,,16.08,,45.0,20.0,0.866,BOTTOM_CONT,22.0,35.0,6.0,63.0,GOOD
2025-W34,2025.08.18,XAUUSD,42,115,36.5,,26.23,,,30,0.0,,0.0,,10.98,,51.2,53.3,0.807,BOTTOM_CONT,33.0,35.0,4.0,72.0,GOOD
2025-W35,2025.08.25,XAUUSD,1,115,0.9,,21.07,,,30,0.0,,0.0,,11.59,,42.3,40.0,0.876,BOTTOM_CONT,25.0,35.0,0.7,60.7,GOOD
2025-W36,2025.09.01,XAUUSD,85,113,75.2,,29.04,,,30,0.0,,0.0,,27.63,,75.3,90.0,1.335,PEAK_CONT,28.0,18.0,11.9,57.9,WATCH
2025-W37,2025.09.08,XAUUSD,60,115,52.2,,27.06,,,30,0.0,,0.0,,42.62,,77.7,66.7,0.974,NORMAL_FALL,40.0,15.0,16.6,71.6,GOOD
2025-W38,2025.09.15,XAUUSD,19,115,16.5,,21.49,,,30,0.0,,0.0,,25.94,,46.7,20.0,1.349,PEAK_CONT,22.0,18.0,6.2,46.2,WATCH
2025-W39,2025.09.22,XAUUSD,68,115,59.1,,35.46,,,30,0.0,,0.0,,27.46,,70.4,50.0,1.393,PEAK_CONT,33.0,18.0,16.0,67.0,GOOD
2025-W40,2025.09.29,XAUUSD,102,115,88.7,,27.87,,,30,0.0,,0.0,,34.33,,77.3,80.0,1.218,HIGH_CONT,40.0,8.0,14.4,62.4,GOOD
2025-W41,2025.10.06,XAUUSD,95,115,82.6,,41.86,,,30,0.0,,0.0,,47.08,,91.6,70.0,1.809,PEAK_CONT,40.0,18.0,25.0,83.0,OPTIMAL
2025-W42,2025.10.13,XAUUSD,107,115,93.0,,37.4,,,30,0.0,,0.0,,54.01,,92.7,83.3,2.393,PEAK_CONT,28.0,18.0,23.3,69.3,GOOD
2025-W43,2025.10.20,XAUUSD,72,115,62.6,,25.87,,,30,0.0,,0.0,,36.73,,55.0,0.0,2.042,PEAK_FALL,10.0,12.0,14.2,36.3,CAUTION
2025-W44,2025.10.27,XAUUSD,53,115,46.1,,25.73,,,30,0.0,,0.0,,18.64,,49.2,36.7,1.329,PEAK_FALL,22.0,12.0,5.5,39.5,CAUTION
2025-W45,2025.11.03,XAUUSD,26,115,22.6,,21.28,,,30,0.0,,0.0,,10.76,,38.7,26.7,0.75,BOTTOM_CONT,22.0,35.0,0.8,57.8,WATCH
2025-W46,2025.11.10,XAUUSD,109,115,94.8,,35.62,,,30,0.0,,0.0,,30.3,,81.5,80.0,1.144,HIGH_CONT,40.0,8.0,17.5,65.5,GOOD
